,cell_barcode,clone_id
M11-1,cell_1636,3
M11-1,cell_1637,3
M11-1,cell_1638,4
M11-1,cell_1639,1
M11-1,cell_164,4
M11-1,cell_1640,3
M11-1,cell_1641,1
M11-1,cell_1642,3
M11-1,cell_1643,1
M11-1,cell_1644,3
M11-1,cell_1645,4
M11-1,cell_1646,1
M11-1,cell_1647,4
M11-1,cell_1648,3
M11-1,cell_1649,1
M11-1,cell_165,3
M11-1,cell_1650,1
M11-1,cell_1651,1
M11-1,cell_1652,4
M11-1,cell_1653,4
M11-1,cell_1654,8
M11-1,cell_1655,3
M11-1,cell_1656,4
M11-1,cell_1657,3
M11-1,cell_1658,1
M11-1,cell_1659,4
M11-1,cell_166,3
M11-1,cell_1660,3
M11-1,cell_1661,1
M11-1,cell_1662,1
M11-1,cell_1663,3
M11-1,cell_1664,3
M11-1,cell_1665,4
M11-1,cell_1666,4
M11-1,cell_1667,4
M11-1,cell_1668,4
M11-1,cell_1669,4
M11-1,cell_167,4
M11-1,cell_1670,1
M11-1,cell_1671,4
M11-1,cell_1672,1
M11-1,cell_1673,3
M11-1,cell_1674,4
M11-1,cell_1675,4
M11-1,cell_1676,1
M11-1,cell_1677,4
M11-1,cell_1678,3
M11-1,cell_1679,4
M11-1,cell_168,1
M11-1,cell_1680,3
M11-1,cell_1681,4
M11-1,cell_1682,3
M11-1,cell_1683,4
M11-1,cell_1684,3
M11-1,cell_1685,3
M11-1,cell_1686,3
M11-1,cell_1687,4
M11-1,cell_1688,4
M11-1,cell_1689,3
M11-1,cell_169,3
M11-1,cell_1690,3
M11-1,cell_1691,4
M11-1,cell_1692,3
M11-1,cell_1693,3
M11-1,cell_1694,3
M11-1,cell_1695,4
M11-1,cell_1696,4
M11-1,cell_1697,4
M11-1,cell_1698,1
M11-1,cell_1699,3
M11-1,cell_17,1
M11-1,cell_170,4
M11-1,cell_1700,4
M11-1,cell_1701,8
M11-1,cell_1702,4
M11-1,cell_1703,4
M11-1,cell_1704,1
M11-1,cell_1705,4
M11-1,cell_1706,4
M11-1,cell_1707,4
M11-1,cell_1708,3
M11-1,cell_1709,3
M11-1,cell_171,4
M11-1,cell_1710,4
M11-1,cell_1711,4
M11-1,cell_1712,1
M11-1,cell_1713,4
M11-1,cell_1714,4
M11-1,cell_1715,3
M11-1,cell_1716,4
M11-1,cell_1717,1
M11-1,cell_1718,1
M11-1,cell_1719,3
M11-1,cell_172,3
M11-1,cell_1720,4
M11-1,cell_1721,3
M11-1,cell_1722,3
M11-1,cell_1723,1
M11-1,cell_1724,1
M11-1,cell_1725,4
M11-1,cell_1726,4
M11-1,cell_1727,4
M11-1,cell_1728,1
M11-1,cell_1729,1
M11-1,cell_173,4
M11-1,cell_1730,4
M11-1,cell_1731,4
M11-1,cell_1732,1
M11-1,cell_1733,1
M11-1,cell_1734,4
M11-1,cell_1735,4
M11-1,cell_1736,3
M11-1,cell_1737,4
M11-1,cell_1738,4
M11-1,cell_1739,4
M11-1,cell_174,4
M11-1,cell_1740,3
M11-1,cell_1741,8
M11-1,cell_1742,3
M11-1,cell_1743,3
M11-1,cell_1744,1
M11-1,cell_1745,4
M11-1,cell_1746,8
