,cell_barcode,clone_id
TP6-1T,cell_1440,8
TP6-1T,cell_1441,1
TP6-1T,cell_1442,8
TP6-1T,cell_1443,1
TP6-1T,cell_1444,8
TP6-1T,cell_1445,1
TP6-1T,cell_1446,8
TP6-1T,cell_1447,8
TP6-1T,cell_1448,6
TP6-1T,cell_1449,8
TP6-1T,cell_145,1
TP6-1T,cell_1450,1
TP6-1T,cell_1451,8
TP6-1T,cell_1452,8
TP6-1T,cell_1453,8
TP6-1T,cell_1454,8
TP6-1T,cell_1455,1
TP6-1T,cell_1456,1
TP6-1T,cell_1457,8
TP6-1T,cell_1458,6
TP6-1T,cell_1459,6
TP6-1T,cell_146,6
TP6-1T,cell_1460,8
TP6-1T,cell_1461,1
TP6-1T,cell_1462,8
TP6-1T,cell_1463,1
TP6-1T,cell_1464,8
TP6-1T,cell_1465,8
TP6-1T,cell_1466,1
TP6-1T,cell_1467,8
TP6-1T,cell_1468,6
TP6-1T,cell_1469,8
TP6-1T,cell_147,8
TP6-1T,cell_1470,6
TP6-1T,cell_1471,1
TP6-1T,cell_1472,1
TP6-1T,cell_1473,8
TP6-1T,cell_1474,8
TP6-1T,cell_1475,1
TP6-1T,cell_1476,8
TP6-1T,cell_1477,1
TP6-1T,cell_1478,8
TP6-1T,cell_1479,8
TP6-1T,cell_148,8
TP6-1T,cell_1480,1
TP6-1T,cell_1481,8
TP6-1T,cell_1482,8
TP6-1T,cell_1483,8
TP6-1T,cell_1484,8
TP6-1T,cell_1485,1
TP6-1T,cell_1486,1
TP6-1T,cell_1487,1
TP6-1T,cell_1488,1
TP6-1T,cell_1489,6
TP6-1T,cell_149,1
TP6-1T,cell_1490,1
TP6-1T,cell_1491,6
TP6-1T,cell_1492,1
TP6-1T,cell_1493,8
TP6-1T,cell_1494,8
TP6-1T,cell_1495,1
TP6-1T,cell_1496,6
TP6-1T,cell_1497,1
TP6-1T,cell_1498,1
TP6-1T,cell_1499,8
TP6-1T,cell_15,8
TP6-1T,cell_150,8
TP6-1T,cell_1500,1
TP6-1T,cell_1501,8
TP6-1T,cell_1502,1
TP6-1T,cell_1503,1
TP6-1T,cell_1504,1
TP6-1T,cell_1505,1
TP6-1T,cell_1506,1
TP6-1T,cell_1507,8
TP6-1T,cell_1508,8
TP6-1T,cell_1509,6
TP6-1T,cell_151,1
TP6-1T,cell_1510,8
TP6-1T,cell_1511,8
TP6-1T,cell_1512,8
TP6-1T,cell_1513,8
TP6-1T,cell_1514,7
TP6-1T,cell_1515,8
TP6-1T,cell_1516,1
TP6-1T,cell_1517,8
TP6-1T,cell_1518,8
TP6-1T,cell_1519,8
TP6-1T,cell_152,8
TP6-1T,cell_1520,1
TP6-1T,cell_1521,6
TP6-1T,cell_1522,6
TP6-1T,cell_1523,8
TP6-1T,cell_1524,6
TP6-1T,cell_1525,8
TP6-1T,cell_1526,6
TP6-1T,cell_1527,6
TP6-1T,cell_1528,8
TP6-1T,cell_1529,8
TP6-1T,cell_153,6
TP6-1T,cell_1530,8
TP6-1T,cell_1531,8
TP6-1T,cell_1532,1
TP6-1T,cell_1533,1
TP6-1T,cell_1534,1
TP6-1T,cell_1535,1
TP6-1T,cell_1536,8
TP6-1T,cell_1537,8
TP6-1T,cell_1538,1
TP6-1T,cell_1539,8
TP6-1T,cell_154,1
TP6-1T,cell_1540,1
TP6-1T,cell_1541,1
TP6-1T,cell_1542,8
TP6-1T,cell_1543,1
TP6-1T,cell_1544,6
TP6-1T,cell_1545,1
TP6-1T,cell_1546,1
TP6-1T,cell_1547,6
TP6-1T,cell_1548,1
TP6-1T,cell_1549,8
TP6-1T,cell_155,1
TP6-1T,cell_1550,1
TP6-1T,cell_1551,1
TP6-1T,cell_1552,1
TP6-1T,cell_1553,8
TP6-1T,cell_1554,8
TP6-1T,cell_1555,8
TP6-1T,cell_1556,1
TP6-1T,cell_1557,8
TP6-1T,cell_1558,8
TP6-1T,cell_1559,1
TP6-1T,cell_156,1
TP6-1T,cell_1560,8
TP6-1T,cell_1561,1
TP6-1T,cell_1562,8
TP6-1T,cell_1563,8
TP6-1T,cell_1564,6
TP6-1T,cell_1565,8
TP6-1T,cell_1566,8
TP6-1T,cell_1567,8
TP6-1T,cell_1568,8
TP6-1T,cell_1569,8
TP6-1T,cell_157,8
TP6-1T,cell_1570,6
TP6-1T,cell_1571,8
TP6-1T,cell_1572,1
TP6-1T,cell_1573,8
TP6-1T,cell_1574,1
TP6-1T,cell_1575,8
TP6-1T,cell_1576,1
TP6-1T,cell_1577,8
TP6-1T,cell_1578,1
TP6-1T,cell_1579,8
TP6-1T,cell_158,6
TP6-1T,cell_1580,8
TP6-1T,cell_1581,1
TP6-1T,cell_1582,8
TP6-1T,cell_1583,1
TP6-1T,cell_1584,1
TP6-1T,cell_1585,8
TP6-1T,cell_1586,1
TP6-1T,cell_1587,8
TP6-1T,cell_1588,1
TP6-1T,cell_1589,1
TP6-1T,cell_159,8
TP6-1T,cell_1590,8
TP6-1T,cell_1591,6
TP6-1T,cell_1592,1
TP6-1T,cell_1593,6
TP6-1T,cell_1594,6
TP6-1T,cell_1595,1
TP6-1T,cell_1596,1
TP6-1T,cell_1597,8
TP6-1T,cell_1598,6
TP6-1T,cell_1599,1
TP6-1T,cell_16,8
TP6-1T,cell_160,1
TP6-1T,cell_1600,8
TP6-1T,cell_1601,1
TP6-1T,cell_1602,8
TP6-1T,cell_1603,6
TP6-1T,cell_1604,1
TP6-1T,cell_1605,8
TP6-1T,cell_1606,6
TP6-1T,cell_1607,1
TP6-1T,cell_1608,8
TP6-1T,cell_1609,8
TP6-1T,cell_161,8
TP6-1T,cell_1610,1
TP6-1T,cell_1611,8
TP6-1T,cell_1612,1
TP6-1T,cell_1613,8
TP6-1T,cell_1614,8
TP6-1T,cell_1615,1
TP6-1T,cell_1616,8
TP6-1T,cell_1617,1
TP6-1T,cell_1618,8
TP6-1T,cell_1619,1
TP6-1T,cell_162,8
TP6-1T,cell_1620,6
TP6-1T,cell_1621,8
TP6-1T,cell_1622,8
TP6-1T,cell_1623,8
TP6-1T,cell_1624,6
TP6-1T,cell_1625,8
TP6-1T,cell_1626,1
TP6-1T,cell_1627,8
TP6-1T,cell_1628,6
TP6-1T,cell_1629,8
TP6-1T,cell_163,8
TP6-1T,cell_1630,6
TP6-1T,cell_1631,8
TP6-1T,cell_1632,8
TP6-1T,cell_1633,1
TP6-1T,cell_1634,8
TP6-1T,cell_1635,8
TP6-1T,cell_1636,1
TP6-1T,cell_1637,6
TP6-1T,cell_1638,8
TP6-1T,cell_1639,8
TP6-1T,cell_164,8
TP6-1T,cell_1640,8
TP6-1T,cell_1641,8
TP6-1T,cell_1642,1
TP6-1T,cell_1643,8
TP6-1T,cell_1644,1
TP6-1T,cell_1645,8
TP6-1T,cell_1646,1
TP6-1T,cell_1647,6
TP6-1T,cell_1648,8
TP6-1T,cell_1649,1
TP6-1T,cell_165,8
TP6-1T,cell_1650,1
TP6-1T,cell_1651,8
TP6-1T,cell_1652,1
TP6-1T,cell_1653,1
TP6-1T,cell_1654,8
TP6-1T,cell_1655,1
TP6-1T,cell_1656,1
TP6-1T,cell_1657,1
TP6-1T,cell_1658,8
TP6-1T,cell_1659,8
TP6-1T,cell_166,8
TP6-1T,cell_1660,8
TP6-1T,cell_1661,1
TP6-1T,cell_1662,1
TP6-1T,cell_1663,8
TP6-1T,cell_1664,1
TP6-1T,cell_1665,8
TP6-1T,cell_1666,1
TP6-1T,cell_1667,1
TP6-1T,cell_1668,1
TP6-1T,cell_1669,1
TP6-1T,cell_167,8
TP6-1T,cell_1670,1
TP6-1T,cell_1671,8
TP6-1T,cell_1672,1
TP6-1T,cell_1673,1
TP6-1T,cell_1674,8
TP6-1T,cell_1675,1
TP6-1T,cell_1676,1
TP6-1T,cell_1677,8
TP6-1T,cell_1678,1
TP6-1T,cell_1679,8
TP6-1T,cell_168,8
TP6-1T,cell_1680,8
TP6-1T,cell_1681,8
TP6-1T,cell_1682,8
TP6-1T,cell_1683,6
TP6-1T,cell_1684,6
TP6-1T,cell_1685,6
TP6-1T,cell_1686,1
TP6-1T,cell_1687,6
TP6-1T,cell_1688,8
TP6-1T,cell_1689,6
TP6-1T,cell_169,8
TP6-1T,cell_1690,8
TP6-1T,cell_1691,8
TP6-1T,cell_1692,1
TP6-1T,cell_1693,1
TP6-1T,cell_1694,8
TP6-1T,cell_1695,1
TP6-1T,cell_1696,8
TP6-1T,cell_1697,1
TP6-1T,cell_1698,8
TP6-1T,cell_1699,8
TP6-1T,cell_17,8
TP6-1T,cell_170,8
TP6-1T,cell_1700,8
TP6-1T,cell_1701,1
TP6-1T,cell_1702,8
TP6-1T,cell_1703,8
TP6-1T,cell_1704,8
TP6-1T,cell_1705,8
TP6-1T,cell_1706,8
TP6-1T,cell_1707,8
TP6-1T,cell_1708,6
TP6-1T,cell_1709,6
TP6-1T,cell_171,1
TP6-1T,cell_1710,1
TP6-1T,cell_1711,8
TP6-1T,cell_1712,1
TP6-1T,cell_1713,8
TP6-1T,cell_1714,6
TP6-1T,cell_1715,6
TP6-1T,cell_1716,8
TP6-1T,cell_1717,8
TP6-1T,cell_1718,8
TP6-1T,cell_1719,6
TP6-1T,cell_172,8
TP6-1T,cell_1720,8
TP6-1T,cell_1721,6
TP6-1T,cell_1722,1
TP6-1T,cell_1723,8
TP6-1T,cell_1724,1
TP6-1T,cell_1725,1
TP6-1T,cell_1726,1
TP6-1T,cell_1727,8
TP6-1T,cell_1728,8
TP6-1T,cell_1729,8
TP6-1T,cell_173,1
TP6-1T,cell_1730,8
TP6-1T,cell_1731,1
TP6-1T,cell_1732,8
TP6-1T,cell_1733,1
TP6-1T,cell_1734,1
TP6-1T,cell_1735,1
TP6-1T,cell_1736,6
TP6-1T,cell_1737,1
TP6-1T,cell_1738,1
TP6-1T,cell_1739,1
TP6-1T,cell_174,8
TP6-1T,cell_1740,8
TP6-1T,cell_1741,1
TP6-1T,cell_1742,8
TP6-1T,cell_1743,8
TP6-1T,cell_1744,2
TP6-1T,cell_1745,8
TP6-1T,cell_1746,8
TP6-1T,cell_1747,1
TP6-1T,cell_1748,8
TP6-1T,cell_1749,8
TP6-1T,cell_175,1
TP6-1T,cell_1750,8
TP6-1T,cell_1751,6
TP6-1T,cell_1752,6
TP6-1T,cell_1753,8
TP6-1T,cell_1754,1
TP6-1T,cell_1755,8
TP6-1T,cell_1756,1
TP6-1T,cell_1757,8
TP6-1T,cell_1758,1
TP6-1T,cell_1759,8
TP6-1T,cell_176,1
TP6-1T,cell_1760,1
TP6-1T,cell_1761,8
TP6-1T,cell_1762,1
TP6-1T,cell_1763,8
TP6-1T,cell_1764,1
TP6-1T,cell_1765,8
TP6-1T,cell_1766,6
TP6-1T,cell_1767,8
TP6-1T,cell_1768,8
TP6-1T,cell_1769,8
TP6-1T,cell_177,8
TP6-1T,cell_1770,1
